type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,active,Queried_NAICS,archiveDate,additionalInfoLink,uiLink,fullParentPathName,fullParentPathCode,baseType,organizationType,typeOfSetAside,award,resourceLinks
Solicitation,Repair Ft. Griffin Ave (Phase 5),"Goodfellow AFB, Texas",,,FA303026R0002,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T09:00:00-05:00,2026-05-28,237310,Yes,237310,2026-06-23,,https://sam.gov/workspace/contract/opp/66ecf32ce31a452f9a02bd89b0307e32/view,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.FA3030  17 CONS CC,057.5700.AETC.FA3030,Solicitation,OFFICE,SBA,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2be4cd42908f44f9b39d1c32b7a53647/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3f3cd36d62f04cbfa345f495212d7992/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/78b877b9219f4bb7bef65bb90ce89668/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9bc3178358cf45bc9073fa6527c3df2a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a49effec56a8422782c2884171907976/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/abcc89071176490589dcf7c177e141c3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/adff8983f3984af9b395e895c7737762/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c3e1360b835f4ff0b1d58069e74b2620/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c51df90805024146ab325a4aa480ff0f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d6b41de7a8144a20b12fbc602d01d2a3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d9748315740e42efba2c876bce4e11ee/download']"
Solicitation,656-26-702  EHRM DDPO 2.0,"Saint Cloud, Minnesota",,,36C26326B0028-0003,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T10:00:00-05:00,2026-05-29,238210,Yes,238210,2026-12-31,,https://sam.gov/workspace/contract/opp/30bcd822c62b43378a645c917c5f3158/view,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",036.3600.36C263,Presolicitation,OFFICE,SDVOSBC,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/24de0e0e13124bcda3686d7807f2b3ac/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7e9034152ded4539958c4eba4da4fd95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e75238f76f0c4f1aa3444f4aef3e3cdf/download']"
Solicitation,"West Shore Lake Pontchartrain, Louisiana, Hurricane and Storm Damage Risk Reduction Project, WSLP-103A Levee, Floodwall and Gate, Sta. 819+87 B/L to Sta. 827+95 B/L, St. John the Baptist Parish, Louisiana ED 24-025","New Orleans, Louisiana",,,W912P826BA041,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T11:00:00-05:00,2026-06-12,237990,Yes,237990,2026-07-01,,https://sam.gov/workspace/contract/opp/80ffe73d17b74a458e10f1e496be9001/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST NEW ORLEANS.W07V ENDIST NEW ORLEANS,021.2100.USACE.MVD.MVN.W912P8,Solicitation,OFFICE,SBA,,
Solicitation,618-26-702 EHRM Install DDPO 2,"Minneapolis, Minnesota",,,36C26326B0030-0004,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-09T10:00:00-05:00,2026-05-29,238210,Yes,238210,2026-12-31,,https://sam.gov/workspace/contract/opp/7cd1e233272f4d11a74c1efebdb2bdb1/view,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",036.3600.36C263,Presolicitation,OFFICE,SDVOSBC,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2e29cb53f6224317a1bf3e78abf90753/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7dcabbfff543409ba21a1ccd747eb793/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c8e3d583f7c042ee9c38888870eeeac7/download']"
Solicitation,618-26-702 EHRM Install DDPO 2,"Minneapolis, Minnesota",,,36C26326B0030-0003,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-09T10:00:00-05:00,2026-05-28,238210,Yes,238210,2026-12-31,,https://sam.gov/workspace/contract/opp/55d04e896e3242b9811a01c633bdf9d2/view,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",036.3600.36C263,Presolicitation,OFFICE,SDVOSBC,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3dcf09f6e030459ba3b3c4ad6f38fcdf/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6eced8b22d834170b7c8490246c0e5f0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b9b006d9e09243b4b003b57b0075346d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e82d1a2c6e9d40228dabbfe93b741a5c/download']"
Solicitation,"Y--Grade and Pave, Lassen Volcanic NP",Not Specified,,,140P8426Q0035,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T17:00:00-07:00,2026-06-10,237310,Yes,237310,2026-07-01,,https://sam.gov/workspace/contract/opp/265297d630b14bb29d86c08abe3eddbc/view,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR SF/SEA MABO(85000)",014.1443.140P85,Solicitation,OFFICE,SBA,,
Solicitation,Z--CT SWITCHGEAR REPLACEMENT STAMPEDE PP,Not Specified,,,140R2026R0007,,Total Small Business Set-Aside (FAR 19.5),2026-06-27T17:00:00-07:00,2026-06-11,238210,Yes,238210,2026-07-12,,https://sam.gov/workspace/contract/opp/5441a58322bb4d9b8b0d73819d894e3f/view,"INTERIOR, DEPARTMENT OF THE.BUREAU OF RECLAMATION.MP-REGIONAL OFFICE",014.1425.140R20,Solicitation,OFFICE,SBA,,
Solicitation,U.S. ARMY 63RD READINESS DIVISION MILCON ERCIP MICROGRID,Not Specified,,"$10,000,000 to $25,000,000 | Estimated Cost Range is between $10,000,000 to $25,000,000 | $45,000,000",W9123826RA016,,Total Small Business Set-Aside (FAR 19.5),2026-06-29T12:00:00-07:00,2026-06-03,237130,Yes,237130,2027-05-28,,https://sam.gov/workspace/contract/opp/7a76d2f71c264f0cb7ccf8413db448b3/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SAN FRANCISCO.W075 ENDIST SAN FRAN,021.2100.USACE.SPD.SPN.W912P7,Solicitation,OFFICE,SBA,,
Solicitation,Oregon/Washington Clamshell Maintenance Dredging 2026,Not Specified,,,W9127N26BA015,,Total Small Business Set-Aside (FAR 19.5),2026-07-06T14:00:00-07:00,2026-06-04,237990,Yes,237990,2026-07-21,,https://sam.gov/workspace/contract/opp/388d9ac7e94a430fa4e05f4439d1ddc8/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST PORTLAND.W071 ENDIST PORTLAND,021.2100.USACE.NWD.NWP.W9127N,Presolicitation,OFFICE,SBA,,
Presolicitation,"Rail Curves Package 3 for MOTCO, CA","Concord, California",,"$6,000,000 and $9,000,000 | $6,000,000 | $9,000,000",W9123826BA011,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T10:00:00-07:00,2026-05-28,237990,Yes,237990,2026-06-26,,https://sam.gov/workspace/contract/opp/c7ece123e4ff49b7af348d815aaa46be/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SACRAMENTO.W075 ENDIST SACRAMENTO,021.2100.USACE.SPD.SPK.W91238,Sources Sought,OFFICE,SBA,,
